sep=; 
"codigo_comuna";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"variable";"valor"
"12202";"Antartica";"122";"Antartica Chilena";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";138
"12301";"Porvenir";"123";"Tierra del Fuego";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";6801
"12302";"Primavera";"123";"Tierra del Fuego";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";1158
"12303";"Timaukel";"123";"Tierra del Fuego";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";405
"12401";"Natales";"124";"Ultima Esperanza";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";21477
"12402";"Torres del Paine";"124";"Ultima Esperanza";"12";"Magallanes y de la Antartica Chilena";"XII";"poblacion";1209
"13101";"Santiago";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";404495
"13102";"Cerrillos";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";80832
"13103";"Cerro Navia";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";132622
"13104";"Conchali";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";126955
"13105";"El Bosque";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";162505
"13106";"Estacion Central";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";147041
"13107";"Huechuraba";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";98671
"13108";"Independencia";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";100281
"13109";"La Cisterna";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";90119
"13110";"La Florida";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";366916
"13111";"La Granja";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";116571
"13112";"La Pintana";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";177335
"13113";"La Reina";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";92787
"13114";"Las Condes";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";294838
"13115";"Lo Barnechea";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";105833
"13116";"Lo Espejo";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";98804
"13117";"Lo Prado";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";96249
"13118";"Macul";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";116534
"13119";"Maipu";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";521627
"13120";"Nunoa";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";208237
"13121";"Pedro Aguirre Cerda";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";101174
"13122";"Penalolen";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";241599
"13123";"Providencia";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";142079
"13124";"Pudahuel";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";230293
"13125";"Quilicura";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";210410
"13126";"Quinta Normal";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";110026
"13127";"Recoleta";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";157851
"13128";"Renca";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";147151
"13129";"San Joaquin";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";94492
"13130";"San Miguel";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";107954
"13131";"San Ramon";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";82900
"13132";"Vitacura";"131";"Santiago";"13";"Metropolitana de Santiago";"M";"poblacion";85384
"13201";"Puente Alto";"132";"Cordillera";"13";"Metropolitana de Santiago";"M";"poblacion";568106
"13202";"Pirque";"132";"Cordillera";"13";"Metropolitana de Santiago";"M";"poblacion";26521
